concept_term	aliases_seen	one_line_definition	doc_slug
tribology	tribological	Science of interacting surfaces in relative motion, encompassing friction, wear, and lubrication	tribology-abrasive-machining-marinescu
abrasive machining	abrasive processes	Manufacturing processes (grinding, honing, lapping, polishing) where material removal is by abrasive action	tribology-abrasive-machining-marinescu
grinding	grinding process	Most common abrasive machining process using bonded abrasive wheels to remove material from workpieces	tribology-abrasive-machining-marinescu
G-ratio	grinding ratio	Ratio of workpiece volume removed to abrasive wheel volume lost, a measure of wheel efficiency	tribology-abrasive-machining-marinescu
uncut chip thickness	grain penetration depth	Depth to which an individual abrasive grain penetrates the workpiece surface during a cutting pass	tribology-abrasive-machining-marinescu
tribosystem	tribomechanical system	Structured set of interacting tribological elements (abrasive, workpiece, fluid) analyzed as a system	tribology-abrasive-machining-marinescu
contact mechanics	contact zone analysis	Study of stresses and deformations at the interface between contacting bodies, applied here to abrasive contacts	tribology-abrasive-machining-marinescu
two-body abrasion		Wear mechanism where hard asperities or particles slide directly between two surfaces	tribology-abrasive-machining-marinescu
three-body abrasion		Wear mechanism where loose abrasive particles roll and slide between two surfaces	tribology-abrasive-machining-marinescu
workpiece burn	thermal damage	Metallurgical damage (oxidation, re-hardening, softening) caused by excessive heat in the grinding zone	tribology-abrasive-machining-marinescu
molecular dynamics simulation	MD simulation	Computational technique simulating atomic-scale interactions to study nanoscale abrasion and deformation	tribology-abrasive-machining-marinescu
Reynolds equation		Partial differential equation governing pressure distribution in a thin lubricant film between moving surfaces	engineering-tribology-stachowiak-batchelor
viscosity index	VI	Empirical measure of how much a lubricant's viscosity changes with temperature; higher VI = less change	engineering-tribology-stachowiak-batchelor
hydrodynamic lubrication	HD lubrication	Lubrication regime where surfaces are fully separated by a pressurized fluid film generated by relative motion	engineering-tribology-stachowiak-batchelor
elastohydrodynamic lubrication	EHL	Lubrication regime where elastic deformation of surfaces and pressure-dependent viscosity both significantly affect film thickness	engineering-tribology-stachowiak-batchelor
boundary lubrication		Lubrication regime where surfaces are in partial contact, protected by adsorbed or chemically reacted molecular films	engineering-tribology-stachowiak-batchelor
extreme pressure lubrication	EP lubrication	Lubrication under very high loads using additives that form sacrificial reaction films on metal surfaces	engineering-tribology-stachowiak-batchelor
journal bearing		Cylindrical plain bearing where a rotating shaft (journal) is supported by a hydrodynamic oil film	engineering-tribology-stachowiak-batchelor
Sommerfeld number		Dimensionless parameter combining load, speed, viscosity, and geometry used to characterize journal bearing performance	engineering-tribology-stachowiak-batchelor
Hertz contact	Hertzian contact	Elastic contact stress theory for bodies with curved surfaces under normal load, predicting contact area and pressure distribution	engineering-tribology-stachowiak-batchelor
flash temperature	conjunction temperature	Transient temperature rise at asperity contact points during sliding, influencing lubricant film stability	engineering-tribology-stachowiak-batchelor
Vogelpohl parameter		Mathematical transformation of the Reynolds equation that improves numerical stability for finite-difference solutions	engineering-tribology-stachowiak-batchelor
thermohydrodynamic lubrication	THD	Extension of hydrodynamic lubrication analysis that accounts for heat generation and temperature-dependent viscosity within the film	engineering-tribology-stachowiak-batchelor
hydrostatic lubrication		Lubrication using externally pressurized fluid supplied to bearing pockets, providing load support even at zero speed	engineering-tribology-stachowiak-batchelor
SAE viscosity grade	SAE grade	Industry standard classification of lubricant viscosity at defined temperatures, specified by the Society of Automotive Engineers	engineering-tribology-stachowiak-batchelor
grease	lubricating grease	Semi-solid lubricant consisting of a base oil dispersed in a thickener, used where fluid lubricants cannot be retained	engineering-tribology-stachowiak-batchelor
internal combustion engine	ICE	Engine that converts chemical energy of fuel combustion into mechanical work within the working fluid itself	vehicular-engine-design-hoag
bore-to-stroke ratio		Ratio of cylinder bore diameter to piston stroke length, influencing combustion efficiency, engine height, and piston speed	vehicular-engine-design-hoag
engine map	performance map	Graphical representation of engine torque, power, and BSFC across the speed-load operating range	vehicular-engine-design-hoag
torsional vibration	crankshaft torsionals	Oscillatory twisting vibrations in the crankshaft driven by cyclic combustion pressure pulses, managed by tuned dampeners	vehicular-engine-design-hoag
piston ring dynamics	ring flutter	Dynamic behavior of piston rings in the groove, including flutter and collapse that affect oil consumption and blow-by	vehicular-engine-design-hoag
fatigue analysis	S-N curve analysis	Methodology for predicting component life under cyclic loading using stress-life (S-N) curves and mean stress corrections	vehicular-engine-design-hoag
hydrodynamic bearing	engine plain bearing	Split cylindrical bearing relying on hydrodynamic oil film to support rotating shaft loads in engine applications	vehicular-engine-design-hoag
camshaft	cam lobe	Rotating shaft carrying lobes that open and close intake and exhaust valves according to the engine's timing requirements	vehicular-engine-design-hoag
turbocharging	supercharging	Increasing engine air charge density using exhaust-driven (turbo) or mechanically driven (super) compressors to boost power	vehicular-engine-design-hoag
semiconductor rectifier		Electronic device using semiconductor junctions to convert alternating current to direct current	intro-mechanical-engineering-semiconductor-rectifiers
